id,Gender,Age,purpose_of_travel,Type of Travel,Type Of Booking,Hotel wifi service,Departure/Arrival  convenience,Ease of Online booking,Hotel location,Food and drink,Stay comfort,Common Room entertainment,Checkin/Checkout service,Other service,Cleanliness,satisfaction,AverageRating
83191,Female,45,personal,Group Travel,Group bookings,5,5,5,5,2,4,5,5,5,3,satisfied,4.6
129138,Male,45,academic,Group Travel,Group bookings,4,4,4,4,4,4,5,3,5,4,satisfied,4.1
37286,Male,39,academic,Group Travel,Individual/Couple,5,3,3,3,5,5,5,5,2,5,satisfied,4.0
121598,Male,9,tourism,Personal Travel,Individual/Couple,5,5,4,2,4,4,4,5,5,4,satisfied,4.2
31952,Female,53,academic,Group Travel,Group bookings,5,5,4,5,5,4,5,5,5,4,satisfied,4.8
59963,Male,57,tourism,Group Travel,Group bookings,5,5,5,5,2,2,4,4,4,3,satisfied,4.0
43935,Female,37,academic,Group Travel,Not defined,5,3,5,3,5,5,5,3,5,5,satisfied,4.3
85109,Male,46,academic,Group Travel,Group bookings,4,4,4,4,3,4,5,5,5,4,satisfied,4.2
94317,Male,25,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,4,5,4,satisfied,4.1
114663,Female,35,business,Group Travel,Group bookings,5,5,5,5,2,5,4,3,4,5,satisfied,4.2
37834,Male,29,business,Group Travel,Group bookings,5,5,4,5,5,5,5,3,2,5,satisfied,4.3
18473,Female,38,personal,Group Travel,Group bookings,5,5,5,5,1,3,4,5,4,5,satisfied,4.1
98247,Female,39,business,Group Travel,Group bookings,5,4,5,5,2,4,4,4,4,4,satisfied,4.1
67702,Male,51,business,Group Travel,Group bookings,5,5,5,5,3,5,4,5,4,3,satisfied,4.6
9559,Female,44,tourism,Group Travel,Group bookings,5,5,5,5,4,4,4,4,4,4,satisfied,4.4
112110,Female,26,academic,Group Travel,Group bookings,4,4,4,1,5,5,5,4,5,5,neutral or dissatisfied,4.1
66011,Male,30,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,3,5,4,satisfied,4.0
62153,Male,39,academic,Group Travel,Group bookings,5,5,5,5,5,4,5,5,5,3,satisfied,4.9
39499,Male,24,aviation,Group Travel,Group bookings,5,5,5,5,4,4,4,4,4,4,satisfied,4.4
48260,Male,63,aviation,Personal Travel,Individual/Couple,3,4,3,5,5,4,5,3,5,5,neutral or dissatisfied,4.1
96830,Male,37,business,Group Travel,Group bookings,5,5,5,5,5,5,5,5,4,5,satisfied,4.9
109465,Female,24,tourism,Group Travel,Group bookings,5,5,5,5,4,4,4,3,5,4,satisfied,4.4
19478,Female,57,personal,Group Travel,Group bookings,5,5,5,5,1,1,5,4,5,5,satisfied,4.0
26935,Female,26,academic,Group Travel,Individual/Couple,4,5,5,5,4,5,4,4,5,4,satisfied,4.6
88118,Male,51,academic,Group Travel,Group bookings,5,5,5,5,5,5,4,4,4,4,satisfied,4.7
42929,Male,44,business,Group Travel,Group bookings,5,5,5,5,3,4,5,3,5,3,satisfied,4.4
27289,Male,34,tourism,Group Travel,Group bookings,4,4,4,4,3,4,5,5,5,1,satisfied,4.2
30294,Female,24,tourism,Group Travel,Group bookings,4,4,4,4,5,5,5,4,5,5,satisfied,4.4
99081,Male,43,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,4,4,5,satisfied,4.0
11849,Female,65,tourism,Personal Travel,Group bookings,4,5,4,4,3,4,4,5,4,5,neutral or dissatisfied,4.1
45421,Female,57,tourism,Group Travel,Individual/Couple,4,4,4,4,4,3,4,5,4,3,satisfied,4.0
7179,Female,40,tourism,Group Travel,Group bookings,5,5,5,5,4,5,5,5,5,4,satisfied,4.9
80613,Female,38,aviation,Group Travel,Group bookings,5,5,3,5,3,4,5,3,5,5,satisfied,4.2
82979,Male,51,business,Group Travel,Group bookings,5,5,5,5,3,4,4,5,4,4,satisfied,4.4
9557,Female,50,tourism,Group Travel,Group bookings,5,5,5,5,4,5,4,5,4,3,satisfied,4.7
94609,Male,50,academic,Group Travel,Group bookings,4,4,4,4,3,4,5,4,5,5,satisfied,4.1
71012,Male,52,academic,Group Travel,Group bookings,5,5,5,5,3,5,5,4,5,3,satisfied,4.7
103164,Male,7,personal,Group Travel,Individual/Couple,4,2,4,4,5,5,5,3,4,5,neutral or dissatisfied,4.0
29908,Female,43,aviation,Group Travel,Group bookings,5,5,5,5,5,1,5,3,5,5,satisfied,4.3
90266,Female,16,academic,Group Travel,Group bookings,5,5,5,5,4,4,3,4,3,4,satisfied,4.2
48034,Female,13,aviation,Group Travel,Not defined,4,5,5,5,4,4,3,4,2,4,neutral or dissatisfied,4.0
44731,Male,40,aviation,Group Travel,Not defined,4,4,5,5,4,4,4,4,4,4,satisfied,4.2
58490,Male,26,tourism,Group Travel,Group bookings,5,5,5,5,5,5,5,3,5,5,satisfied,4.8
100263,Male,58,personal,Group Travel,Group bookings,4,4,4,4,5,5,3,5,3,5,satisfied,4.1
24065,Female,50,academic,Group Travel,Not defined,4,5,5,5,5,1,4,4,4,1,satisfied,4.1
17005,Male,47,academic,Group Travel,Group bookings,3,3,5,3,5,4,4,5,4,3,satisfied,4.0
69413,Male,43,academic,Group Travel,Group bookings,4,3,4,4,5,5,4,3,4,4,satisfied,4.0
71469,Female,28,academic,Personal Travel,Not defined,4,4,4,4,5,5,5,4,4,5,neutral or dissatisfied,4.3
55969,Female,28,aviation,Group Travel,Group bookings,3,3,3,3,5,5,5,4,5,5,satisfied,4.0
53413,Male,30,personal,Group Travel,Group bookings,5,5,5,5,5,5,5,4,1,5,satisfied,4.4
4110,Female,46,aviation,Group Travel,Group bookings,4,4,4,4,4,4,4,5,4,5,satisfied,4.1
119682,Female,16,aviation,Personal Travel,Group bookings,5,4,5,3,5,4,5,4,4,4,satisfied,4.3
3616,Male,47,tourism,Group Travel,Group bookings,4,4,4,4,5,4,4,3,4,3,satisfied,4.0
78114,Female,60,personal,Group Travel,Group bookings,4,4,4,4,5,5,5,4,5,5,satisfied,4.4
99600,Female,17,tourism,Personal Travel,Individual/Couple,3,5,3,5,5,5,5,1,4,5,neutral or dissatisfied,4.0
107479,Male,50,academic,Group Travel,Group bookings,4,4,4,4,5,5,5,4,5,4,satisfied,4.4
117443,Female,8,personal,Group Travel,Individual/Couple,4,4,4,3,5,5,5,3,5,5,neutral or dissatisfied,4.2
41573,Female,69,tourism,Personal Travel,Individual/Couple,5,4,5,3,4,4,4,3,4,4,satisfied,4.0
33264,Female,23,personal,Personal Travel,Not defined,4,4,4,4,5,5,5,4,5,5,neutral or dissatisfied,4.4
93869,Male,50,tourism,Group Travel,Group bookings,5,5,5,5,4,4,5,3,5,3,satisfied,4.6
81025,Female,51,academic,Group Travel,Group bookings,5,5,5,5,2,5,4,3,4,5,satisfied,4.2
60275,Female,50,tourism,Group Travel,Group bookings,4,4,4,4,5,4,5,4,3,4,satisfied,4.1
71587,Female,41,tourism,Group Travel,Group bookings,5,5,5,5,2,5,4,3,4,3,satisfied,4.2
95553,Male,62,aviation,Personal Travel,Not defined,4,5,4,3,4,4,4,3,5,4,neutral or dissatisfied,4.0
90137,Female,50,tourism,Group Travel,Group bookings,4,4,4,4,3,5,5,3,5,4,satisfied,4.1
110992,Female,42,tourism,Group Travel,Group bookings,4,4,4,4,4,5,5,3,5,5,satisfied,4.2
107024,Male,22,personal,Group Travel,Group bookings,5,3,5,3,5,5,5,4,4,5,satisfied,4.3
73526,Male,60,aviation,Group Travel,Group bookings,4,4,4,4,3,4,5,3,5,4,satisfied,4.0
15661,Male,46,business,Group Travel,Individual/Couple,5,4,4,4,5,5,5,4,2,5,satisfied,4.2
90062,Male,29,aviation,Group Travel,Group bookings,5,5,5,5,4,4,4,3,4,4,satisfied,4.3
6188,Female,56,tourism,Personal Travel,Individual/Couple,3,5,5,5,4,4,4,5,4,5,neutral or dissatisfied,4.3
112196,Female,31,academic,Group Travel,Group bookings,4,4,4,4,5,5,5,3,5,5,satisfied,4.3
128755,Male,27,aviation,Group Travel,Group bookings,3,3,4,3,5,5,5,4,5,5,satisfied,4.1
20202,Female,56,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,3,5,4,neutral or dissatisfied,4.0
97029,Female,8,tourism,Personal Travel,Not defined,2,4,2,4,5,5,5,4,5,5,neutral or dissatisfied,4.0
4278,Female,41,business,Group Travel,Group bookings,4,4,4,4,4,5,5,5,5,5,satisfied,4.4
33126,Male,30,business,Personal Travel,Individual/Couple,3,5,3,5,5,5,5,5,2,5,neutral or dissatisfied,4.2
6667,Male,25,tourism,Group Travel,Group bookings,2,5,2,5,4,4,4,5,5,4,neutral or dissatisfied,4.0
98244,Female,32,tourism,Group Travel,Group bookings,4,4,4,4,5,5,5,3,4,5,satisfied,4.2
42260,Female,70,tourism,Group Travel,Individual/Couple,5,5,5,5,1,4,5,4,5,5,satisfied,4.3
78190,Female,70,personal,Group Travel,Group bookings,3,5,5,5,5,3,5,4,5,3,neutral or dissatisfied,4.4
38896,Female,37,business,Group Travel,Individual/Couple,5,5,5,5,5,5,5,1,3,5,satisfied,4.3
35204,Male,31,academic,Group Travel,Group bookings,5,5,5,5,4,4,4,5,4,4,satisfied,4.6
67010,Male,27,business,Group Travel,Group bookings,5,5,5,5,4,4,4,5,5,4,satisfied,4.7
22381,Female,37,business,Group Travel,Group bookings,3,5,5,5,4,4,3,4,3,1,neutral or dissatisfied,4.0
1489,Female,54,tourism,Group Travel,Group bookings,4,4,4,4,3,4,5,5,5,3,satisfied,4.2
35145,Male,58,business,Group Travel,Individual/Couple,5,4,4,4,5,5,5,3,4,5,satisfied,4.3
47781,Male,46,business,Group Travel,Individual/Couple,5,5,5,5,5,5,5,3,2,5,satisfied,4.4
25090,Female,38,business,Group Travel,Group bookings,5,5,5,5,3,5,5,3,5,5,satisfied,4.6
96271,Female,33,tourism,Personal Travel,Individual/Couple,3,4,4,4,5,5,5,1,5,5,neutral or dissatisfied,4.0
22832,Male,45,personal,Group Travel,Individual/Couple,4,5,5,5,4,4,4,3,4,4,satisfied,4.2
27257,Female,25,tourism,Group Travel,Group bookings,5,5,5,1,4,4,4,4,4,4,satisfied,4.0
22938,Male,19,business,Group Travel,Group bookings,4,5,5,5,4,4,4,2,3,4,neutral or dissatisfied,4.0
39522,Female,29,tourism,Personal Travel,Individual/Couple,5,5,5,1,4,4,4,3,5,4,satisfied,4.0
74085,Female,52,business,Group Travel,Group bookings,4,4,4,4,4,4,4,4,4,3,satisfied,4.0
55001,Female,42,tourism,Group Travel,Group bookings,5,5,5,5,5,5,5,5,5,3,satisfied,5.0
37393,Female,16,academic,Group Travel,Individual/Couple,5,3,3,3,5,5,5,2,5,5,satisfied,4.0
122143,Female,35,tourism,Group Travel,Group bookings,5,5,5,5,5,4,5,5,5,5,satisfied,4.9
116540,Female,48,tourism,Personal Travel,Individual/Couple,4,4,4,4,2,5,5,5,5,4,neutral or dissatisfied,4.2
124194,Male,45,tourism,Group Travel,Group bookings,4,4,4,4,3,4,5,3,5,4,satisfied,4.0
114776,Male,30,academic,Group Travel,Group bookings,4,4,4,4,5,5,5,4,5,5,satisfied,4.4
129530,Female,58,business,Group Travel,Group bookings,5,5,5,5,5,4,5,4,5,3,satisfied,4.8
24452,Male,28,academic,Group Travel,Group bookings,4,4,4,4,5,5,5,5,4,5,satisfied,4.4
59019,Female,50,aviation,Group Travel,Group bookings,5,5,5,5,5,5,5,4,5,4,satisfied,4.9
47318,Male,28,personal,Group Travel,Group bookings,4,4,3,4,5,5,5,5,4,5,satisfied,4.3
104372,Female,51,business,Group Travel,Group bookings,5,5,5,5,4,5,3,3,3,5,satisfied,4.2
82961,Female,42,business,Group Travel,Group bookings,4,4,5,4,5,4,4,4,4,4,satisfied,4.2
43908,Female,20,tourism,Personal Travel,Individual/Couple,3,5,3,4,5,5,5,4,4,5,neutral or dissatisfied,4.2
78909,Male,43,academic,Group Travel,Group bookings,5,5,5,5,2,4,5,3,5,3,satisfied,4.3
110219,Male,24,personal,Group Travel,Group bookings,4,4,4,4,5,4,5,4,5,5,satisfied,4.3
74325,Male,45,business,Group Travel,Group bookings,5,5,5,5,4,4,3,5,3,3,satisfied,4.3
21216,Male,41,business,Group Travel,Individual/Couple,4,5,5,5,5,5,5,1,1,5,satisfied,4.0
96512,Male,51,tourism,Personal Travel,Individual/Couple,4,5,4,1,5,5,5,5,4,5,neutral or dissatisfied,4.2
13822,Female,17,business,Group Travel,Individual/Couple,5,5,5,5,5,3,5,3,5,5,satisfied,4.6
67623,Female,46,aviation,Group Travel,Group bookings,5,5,5,5,3,5,3,5,3,4,satisfied,4.3
1309,Female,18,business,Group Travel,Group bookings,3,3,5,3,5,5,5,4,4,5,satisfied,4.1
26826,Female,33,tourism,Group Travel,Group bookings,5,5,5,5,5,2,5,5,5,3,satisfied,4.7
75883,Male,47,business,Group Travel,Group bookings,4,4,4,4,5,4,4,3,4,5,satisfied,4.0
90203,Male,14,tourism,Personal Travel,Individual/Couple,4,4,4,2,5,3,5,4,5,5,satisfied,4.0
108414,Female,43,personal,Group Travel,Group bookings,4,4,4,4,4,4,4,5,4,3,satisfied,4.1
106005,Female,49,business,Group Travel,Group bookings,5,5,5,5,2,4,5,3,5,5,satisfied,4.3
63578,Female,45,aviation,Group Travel,Group bookings,5,5,5,5,2,5,5,3,5,3,satisfied,4.4
44569,Male,57,academic,Group Travel,Individual/Couple,5,2,4,4,5,5,5,4,4,5,satisfied,4.2
122677,Male,59,academic,Group Travel,Group bookings,4,4,4,4,4,4,5,5,5,5,satisfied,4.3
96698,Female,58,tourism,Group Travel,Group bookings,4,4,3,4,4,4,4,5,4,5,satisfied,4.0
119756,Female,18,aviation,Group Travel,Individual/Couple,5,5,5,5,4,4,4,3,5,4,satisfied,4.4
49287,Male,35,aviation,Group Travel,Group bookings,4,4,4,4,4,2,5,5,5,4,satisfied,4.1
44104,Male,51,academic,Group Travel,Group bookings,4,4,4,4,5,3,5,3,5,3,satisfied,4.1
75149,Male,54,personal,Group Travel,Group bookings,5,5,5,5,2,5,3,5,3,3,satisfied,4.2
15804,Male,59,academic,Personal Travel,Individual/Couple,4,5,4,3,5,5,5,3,4,5,neutral or dissatisfied,4.2
84509,Male,47,academic,Group Travel,Group bookings,4,4,4,4,3,4,5,5,5,5,satisfied,4.2
52903,Male,48,aviation,Group Travel,Group bookings,5,5,5,5,5,1,5,3,5,1,satisfied,4.3
56401,Male,26,academic,Group Travel,Group bookings,5,5,5,2,4,2,4,5,4,4,satisfied,4.0
65305,Female,40,tourism,Group Travel,Group bookings,4,4,4,4,5,5,5,5,5,4,satisfied,4.6
111988,Male,23,tourism,Personal Travel,Individual/Couple,2,5,2,3,5,5,5,5,5,5,neutral or dissatisfied,4.1
19383,Female,17,business,Group Travel,Group bookings,4,4,4,4,5,5,5,5,4,5,satisfied,4.4
60045,Male,42,personal,Group Travel,Group bookings,4,4,4,4,4,4,5,3,5,5,satisfied,4.1
41856,Male,33,tourism,Group Travel,Individual/Couple,4,4,4,4,4,4,4,4,5,4,satisfied,4.1
9300,Male,58,tourism,Group Travel,Group bookings,4,4,4,4,2,5,5,3,5,5,satisfied,4.0
91569,Female,39,academic,Group Travel,Group bookings,5,5,5,5,5,5,5,4,5,5,satisfied,4.9
103088,Female,9,business,Personal Travel,Individual/Couple,2,5,2,3,5,5,5,4,5,5,neutral or dissatisfied,4.0
7518,Male,32,academic,Group Travel,Group bookings,5,5,5,5,2,2,5,2,5,2,satisfied,4.0
62729,Female,51,tourism,Group Travel,Group bookings,4,4,5,4,4,5,4,4,4,5,satisfied,4.2
91467,Female,26,tourism,Group Travel,Individual/Couple,4,4,5,4,5,4,2,4,4,4,satisfied,4.0
100441,Male,39,tourism,Group Travel,Group bookings,5,5,5,5,2,4,5,4,5,3,satisfied,4.4
56592,Female,59,aviation,Group Travel,Group bookings,5,5,5,5,5,4,4,3,4,5,satisfied,4.4
25351,Male,25,tourism,Group Travel,Group bookings,5,5,5,2,5,5,5,3,5,5,satisfied,4.4
10654,Female,64,personal,Group Travel,Group bookings,4,4,4,4,4,4,4,3,5,4,satisfied,4.0
68474,Female,32,academic,Group Travel,Group bookings,5,5,5,5,5,5,5,4,5,5,satisfied,4.9
59751,Female,55,academic,Group Travel,Group bookings,5,5,5,5,3,4,5,5,5,4,satisfied,4.7
28061,Male,55,academic,Group Travel,Group bookings,5,5,5,5,4,4,1,4,3,4,satisfied,4.0
12778,Male,50,academic,Group Travel,Group bookings,5,5,5,5,2,4,4,5,4,5,satisfied,4.3
119238,Male,51,aviation,Group Travel,Group bookings,4,4,4,4,3,4,5,5,5,5,satisfied,4.2
117690,Female,28,aviation,Group Travel,Group bookings,4,4,4,4,4,4,4,5,5,4,satisfied,4.2
102131,Female,21,tourism,Group Travel,Group bookings,5,0,5,2,5,5,5,5,5,5,satisfied,4.1
77914,Male,37,personal,Group Travel,Group bookings,5,5,5,4,5,5,5,4,5,5,satisfied,4.8
120391,Female,35,business,Group Travel,Group bookings,4,4,4,4,3,5,5,5,5,5,satisfied,4.3
754,Male,56,business,Group Travel,Group bookings,3,3,3,3,4,5,5,5,5,3,satisfied,4.0
86964,Male,43,aviation,Group Travel,Group bookings,4,4,4,4,5,5,4,5,4,4,satisfied,4.3
41105,Female,38,tourism,Group Travel,Individual/Couple,5,5,5,5,5,5,5,3,4,5,satisfied,4.7
34700,Female,64,tourism,Group Travel,Group bookings,4,4,4,4,5,5,4,5,2,5,satisfied,4.1
57680,Male,35,academic,Group Travel,Group bookings,4,4,4,4,3,5,5,5,5,5,satisfied,4.3
67508,Male,15,business,Group Travel,Group bookings,5,5,1,5,4,4,4,4,5,4,satisfied,4.1
95987,Female,35,academic,Group Travel,Group bookings,4,4,4,4,2,5,5,3,5,5,satisfied,4.0
34956,Male,57,personal,Personal Travel,Individual/Couple,3,5,3,4,5,5,5,4,5,5,neutral or dissatisfied,4.3
99997,Male,59,tourism,Group Travel,Group bookings,4,4,4,4,3,5,4,4,4,5,satisfied,4.0
87760,Female,40,personal,Group Travel,Group bookings,4,4,1,4,5,4,5,5,5,5,satisfied,4.1
11821,Female,42,business,Group Travel,Group bookings,4,4,4,4,4,4,4,5,4,3,satisfied,4.1
42447,Male,23,business,Group Travel,Individual/Couple,4,5,4,5,4,4,4,4,2,4,satisfied,4.0
122538,Female,38,academic,Group Travel,Group bookings,4,4,4,4,4,5,4,3,4,4,satisfied,4.0
108583,Female,58,tourism,Group Travel,Group bookings,3,3,3,3,4,5,5,5,5,5,satisfied,4.0
97971,Male,13,aviation,Personal Travel,Individual/Couple,5,5,5,1,5,5,5,5,4,5,satisfied,4.4
26730,Female,35,academic,Group Travel,Not defined,4,4,4,4,4,4,4,4,5,4,satisfied,4.1
104965,Female,39,academic,Group Travel,Group bookings,5,5,5,5,2,4,5,5,5,3,satisfied,4.6
34543,Male,29,business,Group Travel,Group bookings,5,5,5,5,4,4,4,3,4,4,satisfied,4.3
20052,Male,40,tourism,Group Travel,Individual/Couple,4,5,5,5,4,4,4,4,3,4,neutral or dissatisfied,4.2
63965,Female,56,tourism,Group Travel,Group bookings,5,5,5,5,4,5,5,5,5,4,satisfied,4.9
66822,Female,42,tourism,Group Travel,Group bookings,5,5,5,5,2,4,5,4,5,5,satisfied,4.4
29576,Female,37,aviation,Group Travel,Group bookings,5,5,5,5,5,4,5,5,5,2,satisfied,4.9
98810,Female,41,personal,Group Travel,Group bookings,4,4,4,4,4,5,4,3,4,3,satisfied,4.0
62949,Female,58,tourism,Group Travel,Group bookings,5,5,4,5,4,4,4,4,4,5,satisfied,4.3
118301,Female,24,academic,Group Travel,Group bookings,5,5,5,5,4,4,4,4,4,4,satisfied,4.4
108588,Female,44,tourism,Group Travel,Group bookings,5,5,5,5,5,4,4,3,4,3,satisfied,4.4
72953,Male,33,business,Group Travel,Group bookings,4,4,4,4,4,4,4,5,5,4,satisfied,4.2
70596,Female,46,personal,Group Travel,Group bookings,4,4,4,4,4,4,4,4,4,4,satisfied,4.0
52606,Male,35,tourism,Group Travel,Individual/Couple,5,5,3,5,5,5,5,1,2,5,satisfied,4.0
6987,Female,34,academic,Group Travel,Group bookings,5,5,5,5,4,5,5,3,5,3,satisfied,4.7
29602,Male,25,business,Group Travel,Group bookings,5,5,5,5,3,3,3,3,5,3,satisfied,4.1
28980,Female,31,academic,Group Travel,Group bookings,4,4,4,4,5,5,5,2,4,5,satisfied,4.1
86246,Female,17,business,Personal Travel,Individual/Couple,4,4,4,3,5,5,5,5,5,5,neutral or dissatisfied,4.4
81750,Female,27,tourism,Group Travel,Group bookings,4,4,4,5,3,5,3,5,5,3,satisfied,4.2
67831,Female,54,business,Group Travel,Individual/Couple,5,5,5,4,4,4,4,5,3,4,satisfied,4.3
68217,Male,32,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,4,4,4,satisfied,4.0
93108,Female,40,business,Personal Travel,Not defined,5,4,5,4,4,4,4,5,5,4,satisfied,4.4
92768,Female,44,academic,Group Travel,Group bookings,4,4,4,4,4,4,4,4,4,5,satisfied,4.0
123935,Male,47,personal,Personal Travel,Individual/Couple,4,5,4,3,4,4,4,4,4,4,neutral or dissatisfied,4.0
7788,Male,43,tourism,Group Travel,Group bookings,5,5,5,5,4,5,2,3,2,3,satisfied,4.0
48856,Male,36,tourism,Group Travel,Group bookings,5,5,5,5,4,4,4,1,4,1,satisfied,4.1
99710,Female,53,academic,Group Travel,Group bookings,4,4,4,4,4,5,4,5,4,3,satisfied,4.2
117683,Male,29,business,Group Travel,Group bookings,5,5,5,5,3,3,3,5,5,3,satisfied,4.3
107647,Female,27,academic,Group Travel,Group bookings,4,4,4,4,5,5,5,3,5,5,satisfied,4.3
28742,Female,23,aviation,Group Travel,Group bookings,4,4,4,4,5,5,5,3,2,5,satisfied,4.0
121782,Female,61,personal,Group Travel,Group bookings,5,5,5,5,2,5,4,3,4,5,satisfied,4.2
38897,Female,22,academic,Group Travel,Individual/Couple,4,5,4,1,5,5,5,4,3,5,satisfied,4.0
62969,Male,20,business,Group Travel,Group bookings,3,3,3,3,5,5,5,5,4,5,satisfied,4.0
113800,Female,49,tourism,Group Travel,Group bookings,3,3,5,3,5,5,4,4,4,5,satisfied,4.0
25107,Male,40,tourism,Group Travel,Group bookings,5,5,5,5,2,5,4,5,4,4,satisfied,4.4
1790,Female,27,tourism,Group Travel,Group bookings,4,5,5,4,3,3,3,5,4,3,satisfied,4.0
125953,Male,54,academic,Group Travel,Group bookings,5,5,5,5,5,4,2,5,2,3,satisfied,4.2
121998,Male,54,business,Group Travel,Group bookings,3,3,4,3,5,5,5,5,5,3,satisfied,4.2
82773,Male,8,personal,Personal Travel,Not defined,4,5,4,2,5,5,5,3,5,5,satisfied,4.2
66432,Female,53,academic,Group Travel,Group bookings,5,5,5,5,4,4,3,3,3,4,satisfied,4.1
42458,Male,58,tourism,Personal Travel,Individual/Couple,4,5,4,1,5,5,5,4,4,5,satisfied,4.1
116563,Male,60,academic,Group Travel,Group bookings,5,5,4,5,3,4,4,3,4,3,satisfied,4.1
28084,Male,51,tourism,Group Travel,Individual/Couple,5,3,3,3,5,5,5,5,4,5,satisfied,4.2
